modword,polarity_score,category,frequency
excellent,5,positive,high
amazing,5,positive,high
wonderful,5,positive,high
fantastic,5,positive,high
outstanding,5,positive,high
brilliant,5,positive,high
perfect,5,positive,high
love,5,positive,high
loved,5,positive,high
loving,4,positive,high
great,4,positive,high
good,3,positive,high
nice,3,positive,high
awesome,5,positive,high
superb,5,positive,high
marvelous,5,positive,high
magnificent,5,positive,high
like,2,positive,medium
liked,2,positive,medium
best,5,positive,high
better,3,positive,medium
improve,3,positive,medium
improved,4,positive,high
improvement,3,positive,medium
beautiful,4,positive,high
gorgeous,5,positive,high
stunning,4,positive,high
pretty,2,positive,low
happy,4,positive,high
happier,4,positive,high
happiness,4,positive,high
glad,3,positive,medium
delighted,5,positive,high
excited,4,positive,high
exciting,4,positive,high
fun,3,positive,medium
funny,2,positive,medium
enjoy,3,positive,medium
enjoyed,3,positive,medium
success,4,positive,high
successful,4,positive,high
succeed,4,positive,high
winner,4,positive,high
win,3,positive,medium
clever,3,positive,medium
smart,3,positive,medium
intelligent,3,positive,medium
wise,3,positive,medium
graceful,4,positive,high
elegant,4,positive,high
charm,3,positive,medium
charming,4,positive,high
blessing,4,positive,high
blessed,4,positive,high
fortunate,3,positive,medium
lucky,3,positive,medium
pleasure,3,positive,medium
pleasant,3,positive,medium
delightful,4,positive,high
treasure,3,positive,medium
calm,2,positive,low
peaceful,3,positive,medium
serene,3,positive,medium
smooth,2,positive,low
ease,2,positive,low
strength,3,positive,medium
strong,3,positive,medium
powerful,3,positive,high
pride,3,positive,medium
proud,3,positive,high
hope,2,positive,low
hopeful,3,positive,medium
faith,2,positive,low
faithful,2,positive,low
trust,2,positive,medium
trustworthy,3,positive,medium
kind,3,positive,medium
kindness,3,positive,high
caring,3,positive,medium
helpful,3,positive,medium
generous,3,positive,high
lovely,4,positive,high
delicate,2,positive,low
precious,3,positive,medium
valuable,3,positive,medium
right,2,positive,low
correct,2,positive,low
accurate,2,positive,low
precise,2,positive,low
comfortable,3,positive,medium
cozy,3,positive,medium
warm,2,positive,low
cuddle,2,positive,low
embrace,2,positive,low
honor,2,positive,low
glorious,4,positive,high
victory,3,positive,high
triumph,3,positive,high
terrible,-5,negative,high
awful,-5,negative,high
horrible,-5,negative,high
disgusting,-5,negative,high
dreadful,-5,negative,high
bad,-3,negative,high
worse,-3,negative,high
worst,-5,negative,high
poor,-3,negative,high
hate,-5,negative,high
hated,-5,negative,high
hating,-4,negative,high
dislike,-3,negative,high
disliked,-3,negative,high
ugly,-4,negative,high
unattractive,-4,negative,high
unpleasant,-3,negative,high
nasty,-4,negative,high
angry,-4,negative,high
furious,-5,negative,high
rage,-5,negative,high
mad,-4,negative,high
enraged,-5,negative,high
sad,-3,negative,high
sadder,-3,negative,high
sadness,-3,negative,high
depressed,-4,negative,high
depression,-4,negative,high
disappointed,-4,negative,high
disappointment,-4,negative,high
fail,-4,negative,high
failed,-4,negative,high
failure,-4,negative,high
lose,-3,negative,high
lost,-3,negative,high
loser,-4,negative,high
boring,-3,negative,high
bored,-3,negative,high
tedious,-3,negative,high
dull,-3,negative,high
sick,-2,negative,medium
sickness,-2,negative,medium
ill,-2,negative,medium
illness,-2,negative,medium
disease,-2,negative,medium
pain,-3,negative,high
painful,-3,negative,high
hurt,-3,negative,high
hurting,-3,negative,high
injured,-3,negative,high
doubt,-2,negative,medium
doubtful,-2,negative,medium
uncertain,-2,negative,medium
confused,-2,negative,medium
confusing,-2,negative,medium
useless,-4,negative,high
worthless,-4,negative,high
pointless,-4,negative,high
waste,-3,negative,high
wasted,-3,negative,high
stupid,-4,negative,high
dumb,-4,negative,high
idiot,-4,negative,high
idiotic,-4,negative,high
ridiculous,-3,negative,high
fool,-4,negative,high
foolish,-4,negative,high
silly,-2,negative,low
dangerous,-3,negative,high
danger,-3,negative,high
risk,-2,negative,medium
risky,-2,negative,medium
threat,-3,negative,high
broken,-3,negative,high
damaged,-3,negative,high
ruined,-4,negative,high
destroy,-4,negative,high
destroyed,-4,negative,high
rude,-3,negative,high
rudely,-3,negative,high
offensive,-4,negative,high
insulting,-4,negative,high
insult,-4,negative,high
cold,-2,negative,medium
coldness,-2,negative,medium
harsh,-3,negative,high
cruel,-4,negative,high
cruelty,-4,negative,high
greedy,-3,negative,high
selfish,-3,negative,high
stingy,-3,negative,high
mean,-3,negative,high
meanness,-3,negative,high
suspect,-2,negative,medium
suspicious,-2,negative,medium
distrust,-3,negative,high
untrustworthy,-4,negative,high
lazy,-2,negative,medium
laziness,-2,negative,medium
sluggish,-2,negative,medium
slow,-1,negative,low
weak,-2,negative,medium
weakness,-2,negative,medium
fragile,-2,negative,medium
vulnerable,-2,negative,medium
shame,-3,negative,high
ashamed,-3,negative,high
embarrass,-3,negative,high
embarrassed,-3,negative,high
embarrassment,-3,negative,high
wrong,-2,negative,medium
incorrect,-2,negative,medium
mistake,-2,negative,medium
mistaken,-2,negative,medium
error,-2,negative,medium
messy,-2,negative,medium
dirty,-2,negative,medium
filthy,-3,negative,high
gross,-3,negative,high
fake,-3,negative,high
false,-3,negative,high
liar,-4,negative,high
lie,-3,negative,high
lying,-3,negative,high
dishonest,-4,negative,high
evil,-5,negative,high
wicked,-4,negative,high
sinful,-3,negative,high
immoral,-4,negative,high
loss,-3,negative,high
missing,-2,negative,medium
enemy,-3,negative,high
hostile,-4,negative,high
attack,-4,negative,high
aggressive,-3,negative,high
scam,-5,negative,high
fraud,-5,negative,high
cheat,-4,negative,high
cheated,-4,negative,high
cheating,-4,negative,high
